FORDULO	HAZAICSAPAT	VENDEGCSAPAT	HAZAIGOL	VENDEGGOL
1	Blackburn_Rovers	Wolverhampton_Wanderers	1	2
1	Fulham_FC	Aston_Villa	0	0
1	Liverpool_FC	Sunderland_AFC	1	1
1	Queens_Park_Rangers	Bolton_Wanderers	0	4
1	Wigan_Athletic	Norwich_City	1	1
1	Newcastle_United	Arsenal_FC	0	0
1	Stoke_City	Chelsea_FC	0	0
1	West_Bromwich_Albion	Manchester_United	1	2
1	Manchester_City	Swansea_City	4	0
1	Tottenham_Hotspur	Everton_FC	2	0
2	Sunderland_AFC	Newcastle_United	0	1
2	Arsenal_FC	Liverpool_FC	0	2
2	Aston_Villa	Blackburn_Rovers	3	1
2	Everton_FC	Queens_Park_Rangers	0	1
2	Swansea_City	Wigan_Athletic	0	0
2	Chelsea_FC	West_Bromwich_Albion	2	1
2	Norwich_City	Stoke_City	1	1
2	Wolverhampton_Wanderers	Fulham_FC	2	0
2	Bolton_Wanderers	Manchester_City	2	3
2	Manchester_United	Tottenham_Hotspur	3	0
3	Aston_Villa	Wolverhampton_Wanderers	0	0
3	Wigan_Athletic	Queens_Park_Rangers	2	0
3	Blackburn_Rovers	Everton_FC	0	1
3	Chelsea_FC	Norwich_City	3	1
3	Swansea_City	Sunderland_AFC	0	0
3	Liverpool_FC	Bolton_Wanderers	3	1
3	Newcastle_United	Fulham_FC	2	1
3	Tottenham_Hotspur	Manchester_City	1	5
3	West_Bromwich_Albion	Stoke_City	0	1
3	Manchester_United	Arsenal_FC	8	2
4	Arsenal_FC	Swansea_City	1	0
4	Everton_FC	Aston_Villa	2	2
4	Manchester_City	Wigan_Athletic	3	0
4	Stoke_City	Liverpool_FC	1	0
4	Sunderland_AFC	Chelsea_FC	1	2
4	Wolverhampton_Wanderers	Tottenham_Hotspur	0	2
4	Bolton_Wanderers	Manchester_United	0	5
4	Norwich_City	West_Bromwich_Albion	0	1
4	Fulham_FC	Blackburn_Rovers	1	1
4	Queens_Park_Rangers	Newcastle_United	0	0
5	Blackburn_Rovers	Arsenal_FC	4	3
5	Aston_Villa	Newcastle_United	1	1
5	Bolton_Wanderers	Norwich_City	1	2
5	Everton_FC	Wigan_Athletic	3	1
5	Swansea_City	West_Bromwich_Albion	3	0
5	Wolverhampton_Wanderers	Queens_Park_Rangers	0	3
5	Tottenham_Hotspur	Liverpool_FC	4	0
5	Fulham_FC	Manchester_City	2	2
5	Sunderland_AFC	Stoke_City	4	0
5	Manchester_United	Chelsea_FC	3	1
6	Manchester_City	Everton_FC	2	0
6	Arsenal_FC	Bolton_Wanderers	3	0
6	Chelsea_FC	Swansea_City	4	1
6	Liverpool_FC	Wolverhampton_Wanderers	2	1
6	Newcastle_United	Blackburn_Rovers	3	1
6	West_Bromwich_Albion	Fulham_FC	0	0
6	Wigan_Athletic	Tottenham_Hotspur	1	2
6	Stoke_City	Manchester_United	1	1
6	Queens_Park_Rangers	Aston_Villa	1	1
6	Norwich_City	Sunderland_AFC	2	1
7	Everton_FC	Liverpool_FC	0	2
7	Aston_Villa	Wigan_Athletic	2	0
7	Blackburn_Rovers	Manchester_City	0	4
7	Manchester_United	Norwich_City	2	0
7	Sunderland_AFC	West_Bromwich_Albion	2	2
7	Wolverhampton_Wanderers	Newcastle_United	1	2
7	Bolton_Wanderers	Chelsea_FC	1	5
7	Fulham_FC	Queens_Park_Rangers	6	0
7	Swansea_City	Stoke_City	2	0
7	Tottenham_Hotspur	Arsenal_FC	2	1
8	Liverpool_FC	Manchester_United	1	1
8	Manchester_City	Aston_Villa	4	1
8	Norwich_City	Swansea_City	3	1
8	Queens_Park_Rangers	Blackburn_Rovers	1	1
8	Stoke_City	Fulham_FC	2	0
8	Wigan_Athletic	Bolton_Wanderers	1	3
8	Chelsea_FC	Everton_FC	3	1
8	West_Bromwich_Albion	Wolverhampton_Wanderers	2	0
8	Arsenal_FC	Sunderland_AFC	2	1
8	Newcastle_United	Tottenham_Hotspur	2	2
9	Wolverhampton_Wanderers	Swansea_City	2	2
9	Aston_Villa	West_Bromwich_Albion	1	2
9	Bolton_Wanderers	Sunderland_AFC	0	2
9	Newcastle_United	Wigan_Athletic	1	0
9	Liverpool_FC	Norwich_City	1	1
9	Arsenal_FC	Stoke_City	3	1
9	Fulham_FC	Everton_FC	1	3
9	Manchester_United	Manchester_City	1	6
9	Blackburn_Rovers	Tottenham_Hotspur	1	2
9	Queens_Park_Rangers	Chelsea_FC	1	0
10	Everton_FC	Manchester_United	0	1
10	Chelsea_FC	Arsenal_FC	3	5
10	Manchester_City	Wolverhampton_Wanderers	3	1
10	Norwich_City	Blackburn_Rovers	3	3
10	Sunderland_AFC	Aston_Villa	2	2
10	Swansea_City	Bolton_Wanderers	3	1
10	Wigan_Athletic	Fulham_FC	0	2
10	West_Bromwich_Albion	Liverpool_FC	0	2
10	Tottenham_Hotspur	Queens_Park_Rangers	3	1
10	Stoke_City	Newcastle_United	1	3
11	Newcastle_United	Everton_FC	2	1
11	Arsenal_FC	West_Bromwich_Albion	3	0
11	Aston_Villa	Norwich_City	3	2
11	Blackburn_Rovers	Chelsea_FC	0	1
11	Liverpool_FC	Swansea_City	0	0
11	Manchester_United	Sunderland_AFC	1	0
11	Queens_Park_Rangers	Manchester_City	2	3
11	Wolverhampton_Wanderers	Wigan_Athletic	3	1
11	Bolton_Wanderers	Stoke_City	5	0
11	Fulham_FC	Tottenham_Hotspur	1	3
12	Norwich_City	Arsenal_FC	1	2
12	Everton_FC	Wolverhampton_Wanderers	2	1
12	Manchester_City	Newcastle_United	3	1
12	Stoke_City	Queens_Park_Rangers	2	3
12	Sunderland_AFC	Fulham_FC	0	0
12	West_Bromwich_Albion	Bolton_Wanderers	2	1
12	Wigan_Athletic	Blackburn_Rovers	3	3
